Holy Aura,Clr 8; Good 8, Abjuration/Earth/Void/Fire/Spirit, Good, V S F, 1 standard action, 1 round/level (D), 20 ft., See text, Yes (harmless), +4 to AC; +4 resistance; and SR 25sagainstsevil spells.
True Resurrection,Clr 9, Conjuration/Earth/Spirit/Void/Water, , , 10 minutes, , , , , As resurrection; plus remains aren't needed.
Wall of Iron,Sor/Wiz 6, Conjuration/Spirit/Earth, , V S M, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), See text, No, 30 hp/four levels; can topple onto foes.
Prying Eyes,Sor/Wiz 5, Divination/Air/Earth/Water/Void/Spirit, , V S M, 1 minute, 1 hour/level; see text (D), One mile, None, No, 1d4 +1/level floating eyes scout for you.
Plant Growth,Drd 3; Plant 3; Rgr 3, Transmutation/Water/Earth, , V S DF, 1 standard action, Instantaneous, See text, None, No, Grows vegetation; improves crops.
Planar Ally  Lesser,Clr 4, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , V S DF XP, 10 minutes, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, No, Exchange services with a 6 HDsextraplanar creature.
Alarm,Brd 1; Rgr 1; Sor/Wiz 1, Abjuration/Earth/Fire, , V S F/DF, 1 standard action, 2 hours/level (D), Close (25 ft. + 5 ft./2 levels), None, No, Wards an area for 2 hours/level.
Confusion,Brd 3; Sor/Wiz 4; Trickery 4, Enchantment/Air/Earth/Spirit, Mind-Affecting, V S M/DF, 1 standard action, 1 round/level, Medium (100 ft. + 10 ft./level), Will negates, Yes, Subjects behave oddly for 1 round/level.
Disguise Self,Asn 1; Brd 1; Sor/Wiz 1; Trickery 1, Illusion/Air/Earth/Water/Spirit, , V S, 1 standard action, 10 min./level (D), Personal, , , Changes your appearance.
Control Winds,Air 5; Drd 5, Transmutation/Water/Air/Fire/Earth, Air, V S, 1 standard action, 10 min./level, 40 ft./level, Fortitude negates, No, Change wind direction and speed.
Sanctuary,Clr 1; Protection 1, Abjuration/Earth/Fire/Spirit, , V S DF, 1 standard action, 1 round/level, Touch, Will negates, No, Opponents can't attack you; and youscan't attack.
Stone to Flesh,Sor/Wiz 6, Transmutation/Water/Earth/Spirit, , V S M, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), Fortitude negates (object); see text, Yes, Restores petrified creature.
Delayed Blast Fireball,Sor/Wiz 7, Evocation/Fire/Earth, Fire, , , 5 rounds or less; see text, , , , 1d6/level fire damage; you canspostponesblast for 5 rounds.
Snare,Rgr 2; Drd 3, Transmutation/Water/Earth, , V S DF, 3 rounds, Until triggered or broken, Touch, None, No, Creates a magic booby trap.
Enlarge Person,Sor/Wiz 1; Strength 1, Transmutation/Fire/Water/Air/Earth/Spirit, , V S M, 1 round, 1 min./level (D), Close (25 ft. + 5 ft./2 levels), Fortitude negates, Yes, Humanoid creature doubles in size.
Wind Wall,Air 2; Clr 3; Drd 3; Rgr 2; Sor/Wiz 3, Evocation/Fire/Air/Earth, Air, V S M/DF, 1 standard action, 1 round/level, Medium (100 ft. + 10 ft./level), None; see text, Yes, Deflects arrows; smaller creatures;sand gases.
Soften Earth and Stone,Drd 2; Earth 2, Transmutation/Earth/Water/Air/Spirit, Earth, V S DF, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, No, Turns stone to clay or dirt to sand or mud.
Break Enchantment,Adp 5; Brd 4; Clr 5; Luck 5; Pal 4; Sor/Wiz 5, Abjuration/Air/Earth/Water/Spirit, , V S, 1 minute, Instantaneous, Close (25 ft. + 5 ft./2 levels), See text, No, Frees subjects from enchantments;salterations; curses; and petrification.
Protection from Energy,Blk 3; Clr 3; Drd 3; Luck 3; Protection 3; Rgr 2;      Sor/Wiz 3, Abjuration/Fire/Earth/Air, , V S DF, 1 standard action, 10 min./level or until discharged, Touch, Fortitude negates (harmless), Yes (harmless), Absorb 12 points/level of damage fromsoneskind of energy.
Detect Undead,Clr 1; Pal 1; Sor/Wiz 1, Divination/Water/Earth/Spirit, , V S M/DF, 1 standard action, Concentration up to 1 minute/ level (D), 60 ft., None, No, Reveals undead within 60 ft.
Elemental Swarm,Air 9; Drd 9; Earth 9; Fire 9; Water 9, Conjuration/Fire/Earth/Water/Spirit/Air, , V S, 10 minutes, 10 min./level (D), Medium (100 ft. + 10 ft./level), None, No, Summons multiple elementals.
Explosive Runes,Sor/Wiz 3, Abjuration/Earth/Fire/Spirit, Force, V S, 1 standard action, Permanent until discharged (D), Touch, See text, Yes, Deals 6d6 damage when read.
Screen,Sor/Wiz 8; Trickery 7, Illusion/Air/Earth/Water/Spirit, , V S, 10 minutes, 24 hours, Close (25 ft. + 5 ft./2 levels), None or Will disbelief (if interacted       with); see text, No, Illusion hides area from vision; scrying.
Magic Circle against Good,Asn 3; Clr 3; Evil 3; Sor/Wiz 3, Abjuration/Earth/Void/Spirit, Evil, , , , , , , As protection spells; but 10-ft.sradius ands10 min./level.
Unseen Servant,Brd 1; Sor/Wiz 1, Conjuration/Spirit/Air/Earth, , V S M, 1 standard action, 1 hour/level, Close (25 ft. + 5 ft./2 levels), None, No, Invisible force obeys your commands.
Entropic Shield,Clr 1; Luck 1, Abjuration/Earth, , V S, 1 standard action, 1 min./level (D), Personal, , , Ranged attacks against you have 20%smiss chance.
Summon Nature's Ally V,Drd 5, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Repel Wood,Drd 6; Plant 6, Transmutation/Water/Earth, , V S, 1 standard action, 1 min./level (D), 60 ft., None, No, Pushes away wooden objects.
Modify Memory,Asn 4; Brd 4, Enchantment/Air/Earth/Spirit, Mind-Affecting, V S, 1 round; see text, Permanent, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Changes 5 minutes of subject's memories.
Protection from Evil,Adp 1; Clr 1; Good 1; Pal 1; Sor/Wiz 1, Abjuration/Air/Earth/Void/Fire/Spirit, Good, V S M/DF, 1 standard action, 1 min./level (D), Touch, Will negates (harmless), No; see text, +2 to AC and saves; counter mindscontrol;shedge out elementals and outsiders.
Hide from Undead,Clr 1, Abjuration/Earth/Fire/Spirit, , V S DF, 1 standard action, 10 min./level (D), Touch, Will negates (harmless); see text, Yes, Undead can't perceive one subject/level.
Stone Tell,Drd 6, Divination/Water/Earth, , V S DF, 10 minutes, 1 min./level, Personal, , , Talk to natural or worked stone.
Resurrection,Clr 7, Conjuration/Earth/Spirit/Void/Air/Water, , , 10 minutes, , , , , Fully restore dead subject.
Mending,Adp 0; Brd 0; Clr 0; Drd 0; Sor/Wiz 0, Transmutation/Earth/Water/Air/Fire, , V S, 1 standard action, Instantaneous, 10 ft., Will negates (harmless object), Yes (harmless object), Makes minor repairs on an object.
Keen Edge,Sor/Wiz 3, Transmutation/Water/Earth/Spirit, , V S, 1 standard action, 10 min./level, Close (25 ft. + 5 ft./2 levels), Will negates (harmless object), Yes (harmless object), Doubles normal weapon's threat range.
Control Plants,Drd 8; Plant 8, Transmutation/Water/Fire/Earth, , V S DF, 1 standard action, 1 min./level, Close (25 ft. + 5 ft./2 levels), Will negates, No, Control actions of one or more plant creatures.
Spectral Hand,Sor/Wiz 2, Necromancy/Void/Air/Earth/Water/Spirit, , V S, 1 standard action, 1 min./level (D), Medium (100 ft. + 10 ft./level), None, No, Creates disembodied glowing hand tosdeliverstouch attacks.
Mage's Private Sanctum,Sor/Wiz 5, Abjuration/Earth/Fire/Water/Spirit, , V S M, 10 minutes, 24 hours (D), Close (25 ft. + 5 ft./2 levels), None, No, Prevents anyone from viewing orsscrying ansarea for 24 hours.
Fire Shield,Fire 5; Sor/Wiz 4; Sun 4, Evocation/Fire/Earth, , V S M/DF, 1 standard action, 1 round/level (D), Personal, , , Creatures attacking you take firesdamage;syou're protected from heat or cold.
Antiplant Shell,Drd 4, Abjuration/Earth/Air, , V S DF, 1 standard action, 10 min./level (D), 10 ft., None, Yes, Keeps animated plants at bay.
Prismatic Sphere,Protection 9; Sor/Wiz 9; Sun 9, Abjuration/Earth/Spirit, , V, , , 10 ft., , , As prismatic wall; but surrounds onsall sides.
Magic Jar,Sor/Wiz 5, Necromancy/Void/Air/Fire/Earth/Water/Spirit, , V S F, 1 standard action, 1 hour/level or until you return to your body, Medium (100 ft. + 10 ft./level), Will negates; see text, Yes, Enables possession of another creature.
Major Creation,Adp 5; Sor/Wiz 5, Conjuration/Spirit/Earth, , , 10 minutes, See text, Close (25 ft. + 5 ft./2 levels), , , As minor creation; plus stone and metal.
Summon Nature's Ally VIII,Animal 8; Drd 8, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Solid Fog,Sor/Wiz 4, Conjuration/Spirit/Earth/Water, , V S M, , 1 min./level, , , No, Blocks vision and slows movement.
Summon Nature's Ally IX,Drd 9, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Diminish Plants,Drd 3; Rgr 3, Transmutation/Water/Earth, , V S DF, 1 standard action, Instantaneous, See text, None, No, Reduces size or blights growth ofsnormal plants.
Dispel Chaos,Clr 5; Law 5; Pal 4, Abjuration/Earth/Void/Spirit, Lawful, , , , , , , +4 bonus against attacks by chaotic creatures.
Sleep,Adp 1; Asn 1; Brd 1; Sor/Wiz 1, Enchantment/Air/Earth, Mind-Affecting, V S M, 1 round, 1 min./level, Medium (100 ft. + 10 ft./level), Will negates, Yes, Puts 4 HD of creatures into magical slumber.
Atonement,Clr 5; Drd 5, Abjuration/Earth/Void/Spirit, , V S M F DF XP, 1 hour, Instantaneous, Touch, None, Yes, Removes burden of misdeeds from subject.
Shield of Law,Clr 8; Law 8, Abjuration/Earth/Void/Fire/Spirit, Lawful, V S F, 1 standard action, 1 round/level (D), 20 ft., See text, Yes (harmless), +4 to AC; +4 resistance; and SR 25sagainstschaotic spells.
Passwall,Sor/Wiz 5, Transmutation/Water/Earth/Spirit, , V S M, 1 standard action, 1 hour/level (D), Touch, None, No, Creates passage through wood or stone wall.
Antilife Shell,Animal 6; Clr 6; Drd 6, Abjuration/Earth/Water/Spirit, , V S DF, 1 round, 10 min./level (D), 10 ft., None, Yes, 10-ft.-radius field hedges out living creatures.
Deathwatch,Clr 1, Necromancy/Earth/Void/Spirit, Evil, V S, 1 standard action, 10 min./level, 30 ft., None, No, Reveals how near death subjects withins30sft. are.
Message,Brd 0; Sor/Wiz 0, Transmutation/Water/Void/Earth, Language-Dependent, V S F, 1 standard action, 10 min./level, Medium (100 ft. + 10 ft./level), None, No, Whispered conversation at distance.
Resistance,Brd 0; Clr 0; Drd 0; Pal 1; Sor/Wiz 0, Abjuration/Earth, , V S M/DF, 1 standard action, 1 minute, Touch, Will negates (harmless), Yes (harmless), Subject gains +1 on saving throws.
Mage's Disjunction,Magic 9; Sor/Wiz 9, Abjuration/Earth/Spirit, , V, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Will negates (object), No, Dispels magic; disenchants magic items.
Raise Dead,Adp 5; Clr 5, Conjuration/Earth/Spirit/Void/Air/Water, , V S M DF, 1 minute, Instantaneous, Touch, None; see text, Yes (harmless), Restores life to subject who died asslong assone day/level ago.
Command Plants,Drd 4; Plant 4; Rgr 3, Transmutation/Water/Fire/Earth, , V, 1 standard action, One day/level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Sway the actions of one or more plant creatures.
Flame Arrow,Sor/Wiz 3, Transmutation/Fire/Water/Earth, Fire, V S M, 1 standard action, 10 min./level, Close (25 ft. + 5 ft./2 levels), None, No, Arrows deal +1d6 fire damage.
Glyph of Warding  Greater,Clr 6, Abjuration/Earth/Fire, , , , , , , , As glyph of warding; but up to 10d8sdamagesor 6th-level spell.
Shillelagh,Drd 1, Transmutation/Water/Earth, , V S DF, 1 standard action, 1 min./level, Touch, Will negates (object), Yes  (object), Cudgel or quarterstaff becomes +1sweapons(1d10 damage) for 1 min./level.
Statue,Sor/Wiz 7, Transmutation/Water/Earth/Spirit, , V S M, 1 round, 1 hour/level (D), Touch, Will negates (harmless), Yes (harmless), Subject can become a statue at will.
Heat Metal,Drd 2; Sun 2, Transmutation/Fire/Water/Air/Earth/Spirit, Fire, V S DF, 1 standard action, 7 rounds, Close (25 ft. + 5 ft./2 levels), Will negates (object), Yes  (object), Make metal so hot it damages those whostouch it.
Produce Flame,Drd 1; Fire 2, Evocation/Fire/Water/Earth, Fire, V S, 1 standard action, 1 min./level (D), 0 ft., None, Yes, 1d6 damage +1/level; touch or thrown.
Banishment,Clr 6; Sor/Wiz 7, Abjuration/Earth, , V S F, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Banishes 2 HD/level of extraplanar creatures.
Summon Nature's Ally III,Drd 3; Rgr 3, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls animal to fight for you.
Symbol of Death,Clr 8; Sor/Wiz 8, Necromancy/Void/Fire/Earth/Spirit, Death, V S M, 10 minutes, See text, 0 ft.; see text, Fortitude negates, Yes, Triggered rune slays nearby creatures.
Detect Evil,Adp 1; Clr 1, Divination/Water/Void/Earth/Spirit, , V S DF, 1 standard action, Concentration up to 10 min./ level (D), 60 ft., None, No, Sense the presence of evil.
Spell Immunity  Greater,Clr 8, Abjuration/Earth, , , , , , , , As spell immunity; but up to 8th-level spells.
Crushing Hand,Sor/Wiz 9; Strength 9, Evocation/Fire/Air/Earth/Water, Force, V S M F/DF, , , , , , Large hand provides cover; pushes; orscrushes your foes.
Nondetection,Asn 3; Rgr 4; Sor/Wiz 3; Trickery 3, Abjuration/Earth/Water/Air/Fire, , V S M, 1 standard action, 1 hour/level, Touch, Will negates (harmless object), Yes (harmless object), Hides subject from divination; scrying.
Entangle,Drd 1; Plant 1; Rgr 1, Transmutation/Water/Void/Air/Earth, , V S DF, 1 standard action, 1 min./level (D), Long (400 ft. + 40 ft./level), Reflex partial; see text, No, Plants entangle everyone ins40-ft.-radius circle.
Ironwood,Drd 6, Transmutation/Fire/Water/Earth/Spirit, , V S M, 1 minute/lb. created, One day/level (D), 0 ft., None, No, Magic wood is strong as steel.
Crushing Despair,Brd 3; Sor/Wiz 4, Enchantment/Air/Earth/Spirit, Mind-Affecting, V S M, 1 standard action, 1 min./level, 30 ft., Will negates, Yes, Subjects take -2 on attack rolls;sdamagesrolls; saves; and checks.
Polymorph,Adp 4; Sor/Wiz 4, Transmutation/Water/Spirit/Air/Fire/Earth, , V S M, 1 standard action, 1 min./level (D), Touch, None, No, Gives one willing subject a new form.
Wall of Force,Sor/Wiz 5, Evocation/Fire/Air/Earth/Spirit/Void, Force, V S M, 1 standard action, 1 round /level (D), Close (25 ft. + 5 ft./2 levels), None, No, Wall is immune to damage.
Shout  Greater,Brd 6; Sor/Wiz 8, Evocation/Fire/Air/Earth, Sonic, V S F, , , 60 ft., Fortitude partial or Reflex negates       (object); see text, , Devastating yell deals 10d6 sonicsdamage;sstuns creatures; damages objects.
Grasping Hand,Sor/Wiz 7; Strength 7, Evocation/Fire/Air/Earth/Water, Force, V S F/DF, , , , , , Hand provides cover; pushes; or grapples.
Miracle,Clr 9; Luck 9, Evocation/Fire/Earth/Spirit, , V S XP; see text, 1 standard action, See text, See text, See text, Yes, Requests a deity's intercession.
True Seeing,Adp 5; Clr 5; Drd 7; Knowledge 5; Sor/Wiz 6, Divination/Air/Water/Void/Earth/Spirit, , V S M, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes (harmless), Lets you see all things as they really are.
Divine Power,Clr 4; War 4, Evocation/Fire/Earth, , V S DF, 1 standard action, 1 round/level, Personal, , , You gain attack bonus; +6 to Str; ands1 hp/level.
Polymorph Any Object,Sor/Wiz 8; Trickery 8, Transmutation/Water/Void/Air/Fire/Earth/Spirit, , V S M/DF, 1 standard action, See text, Close (25 ft. + 5 ft./2 levels), Fortitude negates (object); see text, Yes (object), Changes any subject into anything else.
Tiny Hut,Brd 3; Sor/Wiz 3, Evocation/Fire/Earth, Force, V S M, 1 standard action, 2 hours/level (D), 20 ft., None, No, Creates shelter for ten creatures.
Magic Circle against Chaos,Clr 3; Law 3; Pal 3; Sor/Wiz 3, Abjuration/Earth/Void, Lawful, , , , , , , As protection from chaos; but 10-ft.sradiussand 10 min./level.
Transmute Rock to Mud,Drd 5; Sor/Wiz 5, Transmutation/Fire/Water/Earth/Spirit, Earth, V S M/DF, 1 standard action, Permanent; see text, Medium (100 ft. + 10 ft./level), See text, No, Transforms two 10-ft. cubes per level.
Prismatic Wall,Sor/Wiz 8, Abjuration/Fire/Earth/Water/Spirit, , V S, 1 standard action, 10 min./level (D), Close (25 ft. + 5 ft./2 levels), See text, See text, Wall's colors have array of effects.
Summon Nature's Ally IV,Animal 4; Drd 4; Rgr 4, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls animal to fight for you.
Repulsion,Clr 7; Protection 7; Sor/Wiz 6, Abjuration/Earth/Air/Fire, , V S F/DF, 1 standard action, 1 round/level (D), Up to 10 ft./level, Will negates, Yes, Creatures can't approach you.
Protection from Law,Adp 1; Chaos 1; Clr 1; Sor/Wiz 1, Abjuration/Earth/Void, Chaotic, , , , , , , +2 to AC and saves; counter mindscontrol;shedge out elementals and outsiders.
Spell Immunity,Clr 4; Protection 4; Strength 4, Abjuration/Earth/Fire/Spirit, , V S DF, 1 standard action, 10 min./level, Touch, Will negates (harmless), Yes (harmless), Subject is immune to one spell persfour levels.
Rage,Brd 2; Sor/Wiz 3, Enchantment/Air/Earth/Water, Mind-Affecting, V S, 1 standard action, Concentration + 1 round/level (D), Medium (100 ft. + 10 ft./level), None, Yes, Subjects gains +2 to Str and Con; +1son Will saves;
Magic Aura,Brd 1; Magic 1; Sor/Wiz 1, Illusion/Air/Earth/Spirit, , V S F, 1 standard action, One day/level (D), Touch, None; see text, No, Alters object's magic aura.
Speak with Plants,Brd 4; Drd 3; Rgr 2, Divination/Water/Fire/Earth, , V S, 1 standard action, 1 min./level, Personal, , , You can talk to normal plants andsplant creatures.
Shield of Faith,Clr 1, Abjuration/Earth, , V S M, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes (harmless), Aura grants +2 or higher deflection bonus.
Horrid Wilting,Sor/Wiz 8; Water 8, Necromancy/Water/Void/Earth/Spirit, , V S M/DF, 1 standard action, Instantaneous, Long (400 ft. + 40 ft./level), Fortitude half, Yes, Deals 1d6/level damage within 30 ft.
Sepia Snake Sigil,Brd 3; Sor/Wiz 3, Conjuration/Spirit/Fire/Earth, Force, V S M, 10 minutes, Permanent or until discharged; until released or       1d4
      days + one day/level; see text, Touch, Reflex negates, No, Creates text symbol that immobilizes reader.
Globe of Invulnerability,Sor/Wiz 6, Abjuration/Earth, , , , , , , , As lesser globe of invulnerability;spluss4th-level spell effects.
Wall of Thorns,Drd 5; Plant 5, Conjuration/Fire/Spirit/Void/Air/Earth, , V S, 1 standard action, 10 min./level (D), Medium (100 ft. + 10 ft./level), None, No, Thorns damage anyone who tries to pass.
Meld into Stone,Clr 3; Drd 3, Transmutation/Water/Fire/Earth/Spirit, Earth, V S DF, 1 standard action, 10 min./level, Personal, , , You and your gear merge with stone.
Glyph of Warding,Clr 3, Abjuration/Fire/Earth/Void/Air/Spirit, , V S M, 10 minutes, Permanent until discharged (D), Touch, See text, No  (object) and Yes; see text, Inscription harms those who pass it.
Antimagic Field,Clr 8; Magic 6; Protection 6; Sor/Wiz 6, Abjuration/Earth/Spirit/Air, , V S M/DF, 1 standard action, 10 min./level (D), 10 ft., None, See text, Negates magic within 10 ft.
Disintegrate,Destruction 7; Sor/Wiz 6, Transmutation/Earth/Water/Spirit, , V S M/DF, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), Fortitude partial (object), Yes, Makes one creature or object vanish.
Haste,Brd 3; Sor/Wiz 3, Transmutation/Water/Air/Earth/Spirit, , V S M, 1 standard action, 1 round/level, Close (25 ft. + 5 ft./2 levels), Fortitude negates (harmless), Yes (harmless), One creature/level moves faster; +1 onsattack rolls; AC; and Reflex saves.
Awaken,Drd 5, Transmutation/Water/Air/Fire/Earth/Spirit, , V S DF XP, 24 hours, Instantaneous, Touch, Will negates, Yes, Animal or tree gains human intellect.
Fireball,Sor/Wiz 3, Evocation/Fire/Earth, Fire, V S M, 1 standard action, Instantaneous, Long (400 ft. + 40 ft./level), Reflex half, Yes, 1d6 damage per level; 20-ft. radius.
Fire Storm,Clr 8; Drd 7; Fire 7, Evocation/Fire/Earth, Fire, V S, 1 round, Instantaneous, Medium (100 ft. + 10 ft./level), Reflex half, Yes, Deals 1d6/level fire damage.
Dispel Evil,Clr 5; Good 5; Pal 4, Abjuration/Air/Earth/Void/Spirit, Good, V S DF, 1 standard action, 1 round/level or until discharged whichever       comes first, Touch, See text, See text, +4 bonus against attacks by evil creatures.
Endure Elements,Adp 1; Clr 1; Drd 1; Pal 1; Rgr 1; Sor/Wiz 1; Sun 1, Abjuration/Fire/Earth/Air, , V S, 1 standard action, 24 hours, Touch, Will negates (harmless), Yes (harmless), Exist comfortably in hot or cold environments.
Protection from Arrows,Sor/Wiz 2, Abjuration/Earth/Fire, , V S F, 1 standard action, 1 hour/level or until discharged, Touch, Will negates (harmless), Yes (harmless), Subject immune to most ranged attacks.
Shield,Sor/Wiz 1, Abjuration/Earth/Air, Force, V S, 1 standard action, 1 min./level (D), Personal, , , Invisible disc gives +4 to AC; blockssmagic missiles.
Mind Blank,Protection 8; Sor/Wiz 8, Abjuration/Earth/Water/Spirit, , V S, 1 standard action, 24 hours, Close (25 ft. + 5 ft./2 levels), Will negates (harmless), Yes (harmless), Subject is immune to mental/emotionalsmagicsand scrying.
Summon Nature's Ally VI,Drd 6, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Shout,Brd 4; Sor/Wiz 4, Evocation/Fire/Air/Earth, Sonic, V, 1 standard action, Instantaneous, 30 ft., Fortitude partial or Reflex negates       (object); see text, Yes  (object), Deafens all within cone and deals 5d6ssonic damage.
Summon Nature's Ally VII,Drd 7, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Sequester,Sor/Wiz 7, Abjuration/Earth/Water/Air/Spirit, , V S M, 1 standard action, One day/level (D), Touch, None or Will negates (object), No or Yes (object), Subject is invisible to sight andsscrying;srenders creature comatose.
Shatter,Blk 2; Brd 2; Chaos 2; Clr 2; Destruction 2; Sor/Wiz 2, Evocation/Fire/Air/Earth, Sonic, V S M/DF, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Will negates (object); Will negates       (object) or      Fortitude half; see text, Yes  (object), Sonic vibration damages objects orscrystalline creatures.
Detect Poison,Asn 1; Clr 0; Drd 0; Pal 1; Rgr 1; Sor/Wiz 0, Divination/Water/Air/Earth/Spirit, , V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, No, Detects poison in one creature orssmall object.
Shocking Grasp,Sor/Wiz 1, Evocation/Fire/Earth, Electricity, V S, 1 standard action, Instantaneous, Touch, None, Yes, Touch delivers 1d6/level electricitysdamages(max 5d6).
Symbol of Weakness,Clr 7; Sor/Wiz 7, Necromancy/Void/Fire/Earth, , , , , , , , Triggered rune weakens nearby creatures.
Protection from Good,Adp 1; Clr 1; Evil 1; Sor/Wiz 1, Abjuration/Earth/Void/Spirit, Evil, , , , , , , +2 to AC and saves; counter mindscontrol;shedge out elementals and outsiders.
Discern Location,Clr 8; Knowledge 8; Sor/Wiz 8, Divination/Water/Earth, , V S DF, 10 minutes, Instantaneous, Unlimited, None, No, Reveals exact location of creature or object.
Spiritual Weapon,Clr 2; War 2, Evocation/Fire/Spirit/Air/Earth/Void, Force, V S DF, 1 standard action, 1 round/level (D), Medium (100 ft. + 10 ft./level), None, Yes, Magical weapon attacks on its own.
Feather Fall,Asn 1; Brd 1; Sor/Wiz 1, Transmutation/Water/Fire/Earth, , V, 1 free action, Until landing or 1 round/level, Close (25 ft. + 5 ft./2 levels), Will negates (harmless) or Will negates (object), Yes (object), Objects or creatures fall slowly.
Lightning Bolt,Adp 3; Sor/Wiz 3, Evocation/Fire/Earth, Electricity, V S M, 1 standard action, Instantaneous, 120 ft., Reflex half, Yes, Electricity deals 1d6/level damage.
Imbue with Spell Ability,Clr 4; Magic 4, Evocation/Fire/Earth/Water/Spirit/Air, , V S DF, 10 minutes, Permanent until discharged (D), Touch, Will negates (harmless), Yes (harmless), Transfer spells to subject.
Hide from Animals,Drd 1; Rgr 1, Abjuration/Earth/Fire/Spirit, , S DF, 1 standard action, 10 min./level (D), Touch, Will negates (harmless), Yes, Animals can't perceive one subject/level.
Blink,Brd 3; Sor/Wiz 3, Transmutation/Earth/Water/Void/Air/Spirit, , V S, 1 standard action, 1 round/level (D), Personal, , , You randomly vanish and reappear for 1 round/level.
Magic Weapon  Greater,Clr 4; Pal 3; Sor/Wiz 3, Transmutation/Water/Earth, , V S M/DF, 1 standard action, 1 hour/level, Close (25 ft. + 5 ft./2 levels), Will negates (harmless object), Yes (harmless object), +1/four levels (max +5).
Web,Adp 2; Sor/Wiz 2, Conjuration/Fire/Spirit/Earth, , V S M, 1 standard action, 10 min./level (D), Medium (100 ft. + 10 ft./level), Reflex negates; see text, No, Fills 20-ft.-radius spread with sticky spiderwebs.
Summon Monster I,Blk 1; Brd 1; Clr 1; Sor/Wiz 1, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , V S F/DF, 1 round, 1 round/level (D), Close (25 ft. + 5 ft./2 levels), None, No, Calls extraplanar creature to fightsfor you.
Blight,Drd 4; Sor/Wiz 5, Necromancy/Void/Earth/Spirit, , V S DF, 1 standard action, Instantaneous, Touch, Fortitude half; see text, Yes, Withers one plant or deals 1d6/levelsdamagesto plant creature.
Mage's Faithful Hound,Sor/Wiz 5, Conjuration/Air/Spirit/Earth, , V S M, 1 standard action, 1 hour/caster level or until discharged then 1
      round/caster level; see text, Close (25 ft. + 5 ft./2 levels), None, No, Phantom dog can guard; attack.
Chill Metal,Drd 2, Transmutation/Water/Air/Earth/Spirit, Cold, V S DF, 1 standard action, 7 rounds, Close (25 ft. + 5 ft./2 levels), Will negates (object), Yes  (object), Cold metal damages those who touch it.
Read Magic,Adp 0; Brd 0; Clr 0; Drd 0; Pal 1; Rgr 1; Sor/Wiz 0, Divination/Water/Fire/Earth/Spirit, , V S F, 1 standard action, 10 min./level, Personal, , , Read scrolls and spellbooks.
Divine Favor,Clr 1; Pal 1, Evocation/Fire/Void/Air/Earth, , V S DF, 1 standard action, 1 minute, Personal, , , You gain +1 per three levels on attacksandsdamage rolls.
Align Weapon,Clr 2, Transmutation/Water/Void/Earth/Spirit, , V S DF, 1 standard action, 1 min./level, Touch, Will negates (harmless object), Yes (harmless object), Weapon becomes good; evil; lawful; or chaotic.
Chill Touch,Sor/Wiz 1, Necromancy/Void/Earth/Spirit, , V S, 1 standard action, Instantaneous, Touch, Fortitude partial or Will negates; see text, Yes, One touch/level deals 1d6 damage andspossibly 1 Str damage.
Detect Snares and Pits,Drd 1; Rgr 1, Divination/Earth/Water/Spirit, , V S, 1 standard action, Concentration up to 10 min./level (D), 60 ft., None, No, Reveals natural or primitive traps.
Alter Self,Asn 2; Brd 2; Sor/Wiz 2, Transmutation/Water/Spirit/Air/Earth, , V S, 1 standard action, 10 min./level (D), Personal, , , Assume form of a similar creature.
Freedom of Movement,Asn 4; Blk 4; Brd 4; Clr 4; Drd 4; Luck 4; Rgr 4, Abjuration/Earth/Water/Spirit, , V S M DF, 1 standard action, 10 min./level, Personal or touch, Will negates (harmless), Yes (harmless), Subject moves normally despite impediments.
Magic Circle against Law,Chaos 3; Clr 3; Sor/Wiz 3, Abjuration/Earth/Void, Chaotic, , , , , , , As protection spells; but 10-ft.sradius ands10 min./level.
